14.8	11.5	10.3	10.9	16.4	19.7	13.2	16.45
14.6	11.2	9.2	10.2	16.4	19.5	14.6	17.05
16.8	14.1	12.7	13.4	16.3	16.8	14.4	15.6
15.5	11.9	10.3	11.1	16.2	18.8	12.5	15.65
13.2	8.1	6.8	7.45	16.1	16.3	13.2	14.75
19	14	13.3	13.65	16	20.5	17.7	19.1
17.7	12.1	10.8	11.45	16	17.2	12.2	14.7
13.5	10.3	9.1	9.7	16.1	16.7	12	14.35
13.1	11.1	9.7	10.4	16.1	17.6	13.1	15.35
14.2	12.3	11.4	11.85	15.9	17.1	14.2	15.65
16.6	14.5	13.7	14.1	15.8	20.6	16.6	18.6
17.8	14.8	13.7	14.25	15.7	23.8	16.6	20.2
18.1	10.9	8.6	9.75	15.8	22.5	13.4	17.95
18.2	14.9	13.9	14.4	15.9	22.7	16	19.35
16.6	11.6	10.1	10.85	16	21.1	16	18.55
17.5	16.1	15.1	15.6	16	18.6	10.4	14.5
11.1	8.4	7.1	7.75	16.1	13.2	9.5	11.35
15.2	11.7	11.7	11.7	16	16.3	8.4	12.35
9.3	7.5	6.1	6.8	15.8	11.9	7	9.45
7	1.9	-1	0.45	15.5	11.3	4.1	7.7
4.4	1	-0.5	0.25	15	10.9	3.8	7.35
9.1	4.8	2.7	3.75	14.5	14.3	9	11.65
11.1	9	7.9	8.45	14.1	14.8	10.9	12.85
15.5	12.3	11.7	12	13.9	18.3	14.8	16.55
15	12.8	12.5	12.65	13.9	12.9	10	11.45
10.1	9.2	9.1	9.15	14	11.4	7.5	9.45
8.6	4.7	2.9	3.8	14	12.7	8.5	10.6
9.2	3.9	1.9	2.9	13.7	13.9	6.9	10.4
10.8	9.6	8	8.8	13.5	12.3	6.7	9.5
8.8	5.7	3.7	4.7	13.4	11.8	6.2	9
9.6	5.9	4.3	5.1	13.3	13.9	8.2	11.05
9	5.8	4.7	5.25	13.2	11.4	8.4	9.9
9.9	5.7	4	4.85	13	14.8	9.9	12.35
11.6	9	7.9	8.45	12.9	13.8	10	11.9
10.7	8.9	7.3	8.1	12.8	14.5	8.9	11.7
9.6	8.6	7.6	8.1	12.7	12.9	8.6	10.75
13.2	9.4	7.4	8.4	12.7	14	7.4	10.7
10.4	7.3	6.5	6.9	12.7	11.6	8.9	10.25
9.5	7.3	6	6.65	12.5	12.7	8.4	10.55
8.5	5.2	3.6	4.4	12.4	8.1	6	7.05
8.6	7.5	6.6	7.05	12.1	12	8.1	10.05
8.8	6.7	4.7	5.7	12	12.4	7.9	10.15
8	6.1	5	5.55	11.8	12.3	7.1	9.7
10.4	7	5.2	6.1	11.6	12	6.8	9.4
7.9	6.7	4.9	5.8	11.4	10	6.7	8.35
7.1	4.6	2.7	3.65	11.2	9.7	4.8	7.25
5.5	2.5	0	1.25	11	11.1	2.9	7
3.3	-0.4	-1.8	-1.1	10.8	8.8	2.5	5.65
13.3	7.8	6.7	7.25	10.5	13.8	10.6	12.2
11.3	9.1	8	8.55	10.4	11.8	9.5	10.65
10.1	8.1	6.6	7.35	10.5	11.3	7.3	9.3
7.3	2.3	1.1	1.7	10.5	7.2	4.5	5.85
6.6	2.8	0.3	1.55	10.3	10.5	5.1	7.8
12.1	6.6	5.1	5.85	10.1	14.7	12.1	13.4
12.6	10.5	9.2	9.85	10.1	13.4	11.1	12.25
11.7	7.8	6.2	7	10.2	11.3	8.2	9.75
10.7	8.8	8.5	8.65	10.3	9.7	6.5	8.1
7	5	3.7	4.35	10.4	11.9	7	9.45
12.9	11.3	10.1	10.7	10.3	13.8	9.7	11.75
10.3	6.7	5.6	6.15	10.4	7.2	2.4	4.8
2.7	-1.5	-4.4	-2.95	10.3	6.3	-0.7	2.8
-0.3	-1.5	-2.9	-2.2	9.9	4.6	-0.3	2.15
5.3	4.5	4.1	4.3	9.4	5.9	4	4.95
5.6	4	2.5	3.25	9.2	6.8	2.3	4.55
2.6	-2.7	-5.1	-3.9	9	4.2	-2.2	1
0.6	-3	-5.2	-4.1	8.7	4.1	-0.8	1.65
-0.7	-2.5	-5.5	-4	8.2	1.1	-1.8	-0.35
0	-3	-2.3	-2.65	7.8	-0.5	-2.8	-1.65
1.3	-1	-2.3	-1.65	7.4	2.5	1.2	1.85
4.9	1.6	1.4	1.5	7.1	4.9	4.5	4.7
5.3	4.6	4.3	4.45	6.9	6.2	1.8	4
2.3	-2.7	-4.7	-3.7	7	3.5	-2	0.75
5.9	2.6	-0.9	0.85	6.9	6.8	5.6	6.2
7.6	5.4	3.5	4.45	6.8	9.7	7	8.35
